ID,helpful,time

"page load",,02-22-26pm
"page load",,02-23-22pm
"page load",,02-25-35pm
"page load",,02-30-48pm
"page load",,02-31-01pm
"page load",,02-32-11pm
"page load",,02-21--02-43-07pm
"page load",,02-21--02-43-40pm
37,yes,02-21--02-43-42pm
starting,now,02-21--02-44-08pm
"page load",,02-21--02-45-04pm
"page load",,02-21--02-45-49pm
35,yes,02-21--02-45-51pm
35,no,02-21--02-45-52pm
35,yes,02-21--02-45-52pm
35,no,02-21--02-45-53pm
35,yes,02-21--02-45-54pm
35,no,02-21--02-45-56pm
"page load",,02-21--02-55-49pm
"page load",,02-21--03-05-53pm
"page load",,02-21--03-08-58pm
38,yes,02-21--03-10-30pm
38,no,02-21--03-10-30pm
"page load",,02-21--03-18-44pm
"page load",,02-21--03-22-38pm
38,yes,02-21--03-25-00pm
38,no,02-21--03-25-01pm
"page load",,02-21--03-28-36pm
"page load",,02-21--03-32-18pm
"page load",,02-21--03-34-35pm
"page load",,02-21--03-39-42pm
"page load",,02-21--03-57-30pm
"page load",,02-21--04-12-50pm
35,yes,02-21--04-13-09pm
"page load",,02-21--04-13-10pm
35,yes,02-21--04-13-13pm
35,no,02-21--04-13-13pm
"page load",,02-21--04-34-16pm
"page load",,02-21--04-37-38pm
"page load",,02-21--04-44-21pm
"page load",,02-21--04-59-21pm
38,yes,02-21--04-59-29pm
38,no,02-21--04-59-30pm
"page load",,02-21--05-07-16pm
"page load",,02-21--05-10-34pm
"page load",,02-21--05-10-43pm
38,yes,02-21--05-10-47pm
38,no,02-21--05-10-48pm
"page load",,02-21--05-12-22pm
"page load",,02-21--05-58-36pm
"page load",,02-21--06-28-44pm
"page load",,02-21--07-45-21pm
"page load",,02-21--07-50-09pm
"page load",,02-21--09-01-31pm
35,yes,02-21--09-02-34pm
35,no,02-21--09-02-34pm
"page load",,02-21--09-26-17pm
"page load",,02-21--09-27-55pm
"page load",,02-21--10-16-37pm
"page load",,02-21--10-25-07pm
"page load",,02-21--11-58-28pm
"page load",,02-22--01-00-35am
"page load",,02-22--10-12-55am
"page load",,02-22--10-28-32am
"page load",,02-22--10-29-09am
38,yes,02-22--10-29-18am
38,no,02-22--10-29-19am
"page load",,02-22--10-45-44am
"page load",,02-22--12-44-01pm
"page load",,02-22--12-59-58pm
37,yes,02-22--01-00-00pm
37,no,02-22--01-00-00pm
38,yes,02-22--01-00-02pm
38,no,02-22--01-00-03pm
"page load",,02-22--03-10-56pm
"page load",,02-22--03-19-54pm
"page load",,02-22--04-52-28pm
"page load",,02-22--05-59-47pm
"page load",,02-22--05-59-54pm
38,yes,02-22--06-01-21pm
38,no,02-22--06-01-21pm
38,yes,02-22--06-01-33pm
38,no,02-22--06-01-34pm
38,yes,02-22--06-01-41pm
"page load",,02-22--06-01-43pm
"page load",,02-22--06-06-41pm
"page load",,02-22--06-34-13pm
"page load",,02-22--07-04-43pm
53,yes,02-22--07-04-52pm
15,yes,02-22--07-04-53pm
17,yes,02-22--07-04-54pm
"page load",,02-22--07-31-25pm
56,yes,02-22--07-31-38pm
56,no,02-22--07-31-39pm
"page load",,02-22--07-34-58pm
"page load",,02-22--08-13-01pm
38,yes,02-22--08-13-29pm
41,yes,02-22--08-13-59pm
"page load",,02-22--08-37-45pm
"page load",,02-22--08-38-45pm
"page load",,02-23--02-00-28am
"page load",,02-23--02-05-38am
14,yes,02-23--02-05-55am
"page load",,02-23--06-35-36am
"page load",,02-23--10-05-45am
38,yes,02-23--10-05-52am
38,no,02-23--10-05-54am
"page load",,02-23--10-39-32am
38,yes,02-23--10-39-34am
38,no,02-23--10-39-35am
"page load",,02-23--12-25-09pm
"page load",,02-23--12-40-19pm
